Date,Close,Adj Close,Dividends,,divMult,revCumProdDivMult,Adj Close w/o divs,,Split Multiple,Split Multiple rounded 2d.p,Quantity Multiplyer Raw,Quantity Multiplyer
3/23/06,97.16,28.64,0,,1,0.900,31.813,,0.32743363,0.3,1,
3/24/06,98,28.88,0,,1,0.900,32.080,,0.327347395,0.3,1,
3/27/06,98.6,29.06,0,,1,0.900,32.280,,0.327383261,0.3,1,
3/28/06,96.8,28.53,0,,1,0.900,31.691,,0.32738908,0.3,1,
3/29/06,98.65,29.08,0,,1,0.900,32.302,,0.327442531,0.3,1,
3/30/06,99.15,29.22,0,,1,0.900,32.458,,0.327359741,0.3,1,
3/31/06,99,29.18,0,,1,0.900,32.413,,0.327406931,0.3,1,
4/3/06,101.8,30,0,,1,0.900,33.324,,0.327349176,0.3,1,
4/4/06,102.4,30.18,0,,1,0.900,33.524,,0.327383701,0.3,1,
4/5/06,103.45,30.49,0,,1,0.900,33.868,,0.327389469,0.3,1,
4/6/06,102.92,30.33,0,,1,0.900,33.691,,0.32734854,0.3,1,
4/7/06,101.35,29.87,0,,1,0.900,33.180,,0.327377815,0.3,1,
4/10/06,101,29.77,0,,1,0.900,33.069,,0.327412485,0.3,1,
4/11/06,100.14,29.52,0,,1,0.900,32.791,,0.327451166,0.3,1,
4/12/06,100.72,29.69,0,,1,0.900,32.980,,0.327440396,0.3,1,
4/13/06,101.2,29.83,0,,1,0.900,33.135,,0.327424005,0.3,1,
4/17/06,102.4,30.18,0,,1,0.900,33.524,,0.327383701,0.3,1,
4/18/06,105.8,31.18,0,,1,0.900,34.635,,0.327361965,0.3,1,
4/19/06,106.45,31.38,0,,1,0.900,34.857,,0.327450041,0.3,1,
4/20/06,106.07,31.26,0,,1,0.900,34.724,,0.327366459,0.3,1,
4/21/06,106.9,31.51,0,,1,0.900,35.001,,0.327422465,0.3,1,
4/24/06,105.5,31.1,0,,1,0.900,34.546,,0.327450536,0.3,1,
4/25/06,104.05,30.67,0,,1,0.900,34.068,,0.327423214,0.3,1,
4/26/06,106.1,31.27,0,,1,0.900,34.735,,0.327378589,0.3,1,
4/27/06,104.43,30.78,0,,1,0.900,34.191,,0.327401838,0.3,1,
4/28/06,105.45,31.08,0,,1,0.900,34.524,,0.32739512,0.3,1,
5/1/06,105.42,31.07,0,,1,0.900,34.513,,0.327382919,0.3,1,
5/2/06,107.28,31.62,0,,1,0.900,35.124,,0.32740166,0.3,1,
5/3/06,107.4,31.66,0,,1,0.900,35.168,,0.327449555,0.3,1,
5/4/06,108.45,31.96,0,,1,0.900,35.501,,0.327351994,0.3,1,
5/5/06,110.2,32.48,0,,1,0.900,36.079,,0.32739512,0.3,1,
5/8/06,111,32.72,0,,1,0.900,36.346,,0.327437256,0.3,1,
5/9/06,111.1,32.75,0,,1,0.900,36.379,,0.32744248,0.3,1,
5/10/06,109.9,32.39,0,,1,0.900,35.979,,0.327379161,0.3,1,
5/11/06,107.1,31.57,0,,1,0.900,35.068,,0.327433331,0.3,1,
5/12/06,104.3,30.74,0,,1,0.900,34.146,,0.327383909,0.3,1,
5/15/06,101.8,30,0,,1,0.900,33.324,,0.327349176,0.3,1,
5/16/06,102.31,30.16,0,,1,0.900,33.502,,0.327454549,0.3,1,
5/17/06,98.8,29.12,0,,1,0.900,32.347,,0.32739512,0.3,1,
5/18/06,96.9,28.56,0,,1,0.900,31.725,,0.32739512,0.3,1,
5/19/06,98.99,29.18,0,,1,0.900,32.413,,0.327440006,0.3,1,
5/22/06,94.33,27.8,0,,1,0.900,30.880,,0.327365371,0.3,1,
5/23/06,93.3,27.5,0,,1,0.900,30.547,,0.327407652,0.3,1,
5/24/06,92.65,27.31,0,,1,0.900,30.336,,0.327426671,0.3,1,
5/25/06,96.59,28.47,0,,1,0.900,31.625,,0.327410857,0.3,1,
5/26/06,96.3,28.38,0,,1,0.900,31.525,,0.327358694,0.3,1,
5/30/06,92.15,27.16,0,,1,0.900,30.169,,0.32739512,0.3,1,
5/31/06,93.7,27.62,0,,1,0.900,30.680,,0.327432557,0.3,1,
6/1/06,95.62,28.18,0,,1,0.900,31.302,,0.327363327,0.3,1,
6/2/06,96.6,28.47,0,,1,0.900,31.625,,0.327376964,0.3,1,
6/5/06,92.5,27.26,0,,1,0.900,30.281,,0.327357198,0.3,1,
6/6/06,91.82,27.06,0,,1,0.900,30.058,,0.327362011,0.3,1,
6/7/06,89.8,26.47,0,,1,0.900,29.403,,0.327427672,0.3,1,
6/8/06,88.2,26,0,,1,0.900,28.881,,0.327448148,0.3,1,
6/9/06,87.05,25.66,0,,1,0.900,28.503,,0.327435416,0.3,1,
6/12/06,83.81,24.7,0,,1,0.900,27.437,,0.327370008,0.3,1,
6/13/06,81.95,24.15,0,,1,0.900,26.826,,0.327345182,0.3,1,
6/14/06,84.3,24.85,0,,1,0.900,27.604,,0.327443666,0.3,1,
6/15/06,89.21,26.29,0,,1,0.900,29.203,,0.327351867,0.3,1,
6/16/06,88.7,26.14,0,,1,0.900,29.036,,0.327355573,0.3,1,
6/19/06,85.4,25.17,0,,1,0.900,27.959,,0.327388274,0.3,1,
6/20/06,86.45,25.48,0,,1,0.900,28.303,,0.32739512,0.3,1,
6/21/06,89.25,26.31,0,,1,0.900,29.225,,0.327454075,0.3,1,
6/22/06,87.65,25.83,0,,1,0.900,28.692,,0.327348429,0.3,1,
6/23/06,87.5,25.79,0,,1,0.900,28.648,,0.327401802,0.3,1,
6/26/06,87.5,25.79,0,,1,0.900,28.648,,0.327401802,0.3,1,
6/27/06,85.85,25.3,0,,1,0.900,28.103,,0.32735426,0.3,1,
6/28/06,88.54,26.1,0,,1,0.900,28.992,,0.327445303,0.3,1,
6/29/06,93.8,27.65,0,,1,0.900,30.714,,0.327438749,0.3,1,
6/30/06,93.9,27.68,0,,1,0.900,30.747,,0.327444929,0.3,1,
7/3/06,95.98,28.29,0,,1,0.900,31.425,,0.327408521,0.3,1,
7/5/06,93,27.41,0,,1,0.900,30.447,,0.327388834,0.3,1,
7/6/06,94.9,27.97,0,,1,0.900,31.069,,0.32738896,0.3,1,
7/7/06,93.1,27.44,0,,1,0.900,30.480,,0.32739512,0.3,1,
