Date,Open,High,Low,Close,Volume,Adj Close,Dividends
2009-02-24,69.31,70.5,69.0,70.0,647300,48.62,0.0
2009-02-25,70.16,70.16,69.2,69.66,567600,48.39,0.0
2009-02-26,69.75,69.87,67.63,68.28,603200,47.43,0.0
2009-02-27,68.01,68.45,67.0,67.25,824700,46.71,0.0
2009-03-02,66.33,66.81,64.8,65.15,993600,45.74,0.719
2009-03-03,65.71,66.3,64.9,65.41,752700,45.92,0.0
2009-03-04,65.64,66.45,64.81,65.4,572900,45.92,0.0
2009-03-05,65.35,65.4,62.24,62.3,1117900,43.74,0.0
2009-03-06,62.7,63.74,61.87,62.0,1216800,43.53,0.0
2009-03-09,62.32,62.83,61.5,61.64,645100,43.28,0.0
2009-03-10,62.35,64.91,62.35,64.69,1111400,45.42,0.0
2009-03-11,65.46,65.95,64.94,65.72,769500,46.14,0.0
2009-03-12,65.75,66.84,65.52,66.81,762800,46.91,0.0
2009-03-13,67.02,67.11,66.5,66.96,632300,47.01,0.0
2009-03-16,67.17,67.83,67.06,67.34,514600,47.28,0.0
2009-03-17,67.3,67.4,66.42,66.96,460100,47.01,0.0
2009-03-18,66.97,68.62,66.58,68.5,611000,48.09,0.0
2009-03-19,68.46,68.62,67.25,67.9,711800,47.67,0.0
2009-03-20,67.99,68.38,67.53,67.77,394900,47.58,0.0
2009-03-23,68.61,69.2,67.63,69.17,461200,48.56,0.0
2009-03-24,69.07,69.46,68.63,69.3,425000,48.66,0.0
2009-03-25,69.39,70.05,69.39,69.67,800700,48.92,0.0
2009-03-26,70.11,70.77,69.73,70.75,660200,49.67,0.0
2009-03-27,70.6,70.6,68.91,70.03,1157900,49.17,0.0
2009-03-30,69.65,69.65,66.75,66.75,1299900,46.87,0.0
2009-03-31,68.14,68.77,67.5,67.8,632700,47.6,0.0
2009-04-01,67.67,67.93,66.91,67.1,654300,47.68,0.806
2009-04-02,68.04,69.64,67.41,69.54,1469600,49.41,0.0
2009-04-03,69.71,70.8,69.5,70.52,1355600,50.11,0.0
2009-04-06,70.12,70.89,69.45,70.29,648200,49.95,0.0
2009-04-07,70.09,70.09,69.12,69.48,459900,49.37,0.0
2009-04-08,68.8,70.6,68.8,70.3,721600,49.95,0.0
2009-04-09,71.0,72.55,71.0,72.3,1123800,51.37,0.0
2009-04-13,71.45,72.48,71.0,72.25,801800,51.34,0.0
2009-04-14,72.24,72.24,71.51,71.88,617000,51.07,0.0
2009-04-15,72.22,72.5,71.67,72.49,501700,51.51,0.0
2009-04-16,72.71,74.33,72.67,73.64,1109500,52.33,0.0
2009-04-17,73.89,75.75,73.5,75.25,683000,53.47,0.0
2009-04-20,74.63,74.95,72.38,72.5,1003100,51.52,0.0
2009-04-21,72.41,73.8,71.53,73.32,264800,52.1,0.0
2009-04-22,73.03,74.16,72.12,73.67,715200,52.35,0.0
2009-04-23,73.71,74.0,73.27,73.59,701300,52.29,0.0
2009-04-24,73.99,74.84,73.7,74.73,522500,53.1,0.0
2009-04-27,74.2,74.52,73.81,74.14,813400,52.68,0.0
2009-04-28,73.9,74.86,73.35,74.3,460200,52.79,0.0
2009-04-29,74.99,75.8,74.86,75.68,1167900,53.77,0.0
2009-04-30,76.32,76.49,75.55,76.27,919500,54.19,0.0
2009-05-01,75.77,76.09,74.61,75.56,609400,54.11,0.591
2009-05-04,75.89,75.95,75.0,75.38,1043400,53.98,0.0
2009-05-05,75.4,76.04,75.35,76.03,799800,54.45,0.0
2009-05-06,76.33,76.79,75.55,76.66,738600,54.9,0.0
2009-05-07,77.55,77.66,74.79,75.4,1546800,53.99,0.0
2009-05-08,76.43,77.1,76.21,76.75,1375800,54.96,0.0
2009-05-11,76.57,76.77,75.42,76.35,531000,54.67,0.0
2009-05-12,76.0,76.65,75.7,76.65,682300,54.89,0.0
2009-05-13,76.48,76.52,75.5,75.65,1118700,54.17,0.0
2009-05-14,75.51,75.63,74.39,74.85,966300,53.6,0.0
2009-05-15,74.85,74.89,73.08,73.8,1007100,52.85,0.0
2009-05-18,74.34,75.44,74.17,75.37,831000,53.97,0.0
2009-05-19,75.45,76.13,74.86,75.87,902800,54.33,0.0
2009-05-20,76.11,77.19,75.87,76.99,1158400,55.13,0.0
2009-05-21,76.69,76.93,76.0,76.0,1274700,54.42,0.0
2009-05-22,76.33,77.39,76.03,77.05,762300,55.18,0.0
2009-05-26,76.81,77.29,76.38,76.85,855100,55.03,0.0
2009-05-27,77.34,77.51,76.99,76.99,757300,55.13,0.0
2009-05-28,77.49,77.7,76.99,77.26,583900,55.33,0.0
2009-05-29,77.79,78.17,77.45,77.84,621200,55.74,0.0
2009-06-01,77.79,78.98,77.79,78.95,1293700,57.06,0.715
2009-06-02,78.66,78.73,77.93,78.72,782200,56.89,0.0
2009-06-03,78.92,78.94,78.01,78.27,776100,56.57,0.0
2009-06-04,78.02,78.7,78.02,78.51,638100,56.74,0.0
2009-06-05,78.99,78.99,78.31,78.76,704400,56.92,0.0
2009-06-08,78.97,79.25,78.32,78.9,593000,57.02,0.0
